# bin_low_uJy bin_high_uJy bin_median_uJy Ns_tot_obs dnds_srm1Jym1 dnds_eucl_srm1Jy1p5 delta_dnds_eucl_lower_srm1Jy1p5 delta_dnds_eucl_upper_srm1Jy1p5 corr Ncgts_degm2 dNcgts_lower_degm2 dNcgts_upper_degm2
-800.000000 -500.000000 -650.000000 1 1.127725e+03 nan nan nan 1.000000 0 0 0
-500.000000 -400.000000 -450.000000 3 4.920980e+03 nan nan nan 1.000000 0 0 0
-400.000000 -350.000000 -375.000000 3 1.082616e+04 nan nan nan 1.000000 0 0 0
-350.000000 -300.000000 -325.000000 8 3.608719e+04 nan nan nan 1.000000 0 0 0
-300.000000 -250.000000 -275.000000 33 1.488596e+05 nan nan nan 1.000000 0 0 0
-250.000000 -200.000000 -225.000000 38 1.904602e+05 nan nan nan 1.000000 0 0 0
-200.000000 -170.000000 -185.000000 34 2.359547e+05 nan nan nan 1.000000 0 0 0
-170.000000 -150.000000 -160.000000 41 4.109930e+05 nan nan nan 1.000000 0 0 0
-150.000000 -130.000000 -140.000000 51 6.134822e+05 nan nan nan 1.000000 0 0 0
-130.000000 -115.000000 -122.500000 31 4.302703e+05 nan nan nan 1.000000 0 0 0
-115.000000 -100.000000 -107.500000 43 6.465621e+05 nan nan nan 1.000000 0 0 0
-100.000000 -85.000000 -92.500000 47 7.067074e+05 nan nan nan 1.000000 0 0 0
-85.000000 -70.000000 -77.500000 60 9.841960e+05 nan nan nan 1.000000 0 0 0
-70.000000 -60.000000 -65.000000 26 5.212594e+05 nan nan nan 1.000000 0 0 0
-60.000000 -50.000000 -55.000000 43 9.698432e+05 nan nan nan 1.000000 0 0 0
-50.000000 -40.000000 -45.000000 41 9.247342e+05 nan nan nan 1.000000 0 0 0
-40.000000 -30.000000 -35.000000 35 6.315258e+05 nan nan nan 1.000000 0 0 0
-30.000000 -10.000000 -20.000000 79 1.187870e+06 nan nan nan 1.000000 0 0 0
-10.000000 0.000000 -5.000000 42 7.578309e+05 nan nan nan 1.000000 0 0 0
0.000000 10.000000 5.000000 42 9.472887e+05 5.295505e-08 8.171141e-09 8.171141e-09 1.000000 0 0 0
10.000000 20.000000 15.000000 36 8.119617e+05 7.075607e-07 1.179268e-07 1.179268e-07 1.000000 0 0 0
20.000000 30.000000 25.000000 43 9.698432e+05 3.030760e-06 4.621866e-07 4.621866e-07 1.000000 0 0 0
30.000000 40.000000 35.000000 43 9.698432e+05 7.028645e-06 1.071858e-06 1.071858e-06 1.000000 0 0 0
40.000000 50.000000 45.000000 54 1.217943e+06 1.654467e-05 2.251444e-06 2.251444e-06 1.000000 0 0 0
50.000000 60.000000 55.000000 43 9.698432e+05 2.175746e-05 3.317982e-06 3.317982e-06 1.000000 0 0 0
60.000000 70.000000 65.000000 61 1.375824e+06 4.686475e-05 6.000416e-06 6.000416e-06 1.000000 0 0 0
70.000000 80.000000 75.000000 46 1.037507e+06 5.054102e-05 7.451868e-06 7.451868e-06 1.000000 0 0 0
80.000000 90.000000 85.000000 42 9.472887e+05 6.310004e-05 9.736548e-06 9.736548e-06 1.000000 0 0 0
90.000000 100.000000 95.000000 47 1.060061e+06 9.324809e-05 1.360163e-05 1.360163e-05 1.000000 0 0 0
100.000000 110.000000 105.000000 69 1.556260e+06 1.758148e-04 2.116561e-05 2.116561e-05 1.000000 0 0 0
110.000000 120.000000 115.000000 53 1.062567e+06 1.506957e-04 2.069965e-05 2.069965e-05 1.000000 0 0 0
120.000000 135.000000 127.500000 64 1.049809e+06 1.927018e-04 2.408773e-05 2.408773e-05 1.000000 0 0 0
135.000000 150.000000 142.500000 62 9.322523e+05 2.259803e-04 2.869953e-05 2.869953e-05 1.000000 0 0 0
150.000000 165.000000 157.500000 66 9.923977e+05 3.089492e-04 3.802902e-05 3.802902e-05 1.000000 0 0 0
165.000000 180.000000 172.500000 65 9.773613e+05 3.819688e-04 4.737740e-05 4.737740e-05 1.000000 0 0 0
180.000000 195.000000 187.500000 49 7.367801e+05 3.546836e-04 5.066908e-05 5.066908e-05 1.000000 0 0 0
195.000000 210.000000 202.500000 60 9.021797e+05 5.264482e-04 6.796417e-05 6.796417e-05 1.000000 0 0 0
210.000000 225.000000 217.500000 47 7.067074e+05 4.930464e-04 7.191821e-05 7.191821e-05 1.000000 0 0 0
