# bin_low_uJy bin_high_uJy bin_median_uJy Ns_tot_obs dnds_srm1Jym1 dnds_eucl_srm1Jy1p5 delta_dnds_eucl_lower_srm1Jy1p5 delta_dnds_eucl_upper_srm1Jy1p5 corr Ncgts_degm2 dNcgts_lower_degm2 dNcgts_upper_degm2
-1056.000000 -750.000000 -903.000000 0 0.000000e+00 nan nan nan 1.000000 1 1 1
-750.000000 -500.000000 -625.000000 3 5.050238e+03 nan nan nan 1.000000 1 1 1
-500.000000 -400.000000 -450.000000 20 6.100687e+04 nan nan nan 1.000000 1 1 1
-400.000000 -350.000000 -375.000000 31 1.891213e+05 nan nan nan 1.000000 1 1 1
-350.000000 -300.000000 -325.000000 44 3.355378e+05 nan nan nan 1.000000 1 1 1
-300.000000 -250.000000 -275.000000 110 8.388445e+05 nan nan nan 1.000000 1 1 1
-250.000000 -200.000000 -225.000000 184 1.559064e+06 nan nan nan 1.000000 1 1 1
-200.000000 -170.000000 -185.000000 185 2.170437e+06 nan nan nan 1.000000 1 1 1
-170.000000 -150.000000 -160.000000 146 2.474167e+06 nan nan nan 1.000000 1 1 1
-150.000000 -130.000000 -140.000000 192 3.904440e+06 nan nan nan 1.000000 1 1 1
-130.000000 -115.000000 -122.500000 173 4.059303e+06 nan nan nan 1.000000 1 1 1
-115.000000 -100.000000 -107.500000 142 3.609573e+06 nan nan nan 1.000000 1 1 1
-100.000000 -85.000000 -92.500000 178 4.524676e+06 nan nan nan 1.000000 1 1 1
-85.000000 -70.000000 -77.500000 203 5.629270e+06 nan nan nan 1.000000 1 1 1
-70.000000 -60.000000 -65.000000 134 4.541623e+06 nan nan nan 1.000000 0 1 1
-60.000000 -50.000000 -55.000000 136 5.185584e+06 nan nan nan 1.000000 0 1 1
-50.000000 -40.000000 -45.000000 123 4.689903e+06 nan nan nan 1.000000 0 1 1
-40.000000 -30.000000 -35.000000 156 4.758536e+06 nan nan nan 1.000000 0 1 1
-30.000000 -10.000000 -20.000000 302 7.741208e+06 nan nan nan 1.000000 0 1 1
-10.000000 -0.500000 -5.250000 153 5.833782e+06 nan nan nan 1.000000 0 1 1
-0.500000 0.500000 0.000000 20 1.452545e+06 0.000000e+00 0.000000e+00 0.000000e+00 1.000000 0 1 1
0.500000 10.000000 5.250000 135 6.863273e+06 4.334405e-07 3.730462e-08 3.730462e-08 1.000000 0 1 1
10.000000 20.000000 15.000000 159 6.139299e+06 5.349916e-06 4.242759e-07 4.242759e-07 1.000000 0 1 1
20.000000 30.000000 25.000000 141 5.376230e+06 1.680072e-05 1.414876e-06 1.414876e-06 1.000000 0 1 1
30.000000 40.000000 35.000000 147 5.605006e+06 4.062059e-05 3.350330e-06 3.350330e-06 1.000000 0 1 1
40.000000 50.000000 45.000000 132 5.033067e+06 6.836975e-05 5.950823e-06 5.950823e-06 1.000000 0 1 1
50.000000 60.000000 55.000000 144 5.490618e+06 1.231765e-04 1.026471e-05 1.026471e-05 1.000000 0 1 1
60.000000 70.000000 65.000000 132 5.033067e+06 1.714415e-04 1.492207e-05 1.492207e-05 1.000000 0 1 1
70.000000 80.000000 75.000000 119 4.537386e+06 2.210339e-04 2.026214e-05 2.026214e-05 1.000000 0 1 1
80.000000 90.000000 85.000000 135 5.147455e+06 3.428782e-04 2.951025e-05 2.951025e-05 1.000000 0 0 0
90.000000 100.000000 95.000000 111 4.232352e+06 3.722980e-04 3.533697e-05 3.533697e-05 1.000000 0 0 0
100.000000 110.000000 105.000000 131 4.994937e+06 5.642912e-04 4.930235e-05 4.930235e-05 1.000000 0 0 0
110.000000 120.000000 115.000000 117 3.965447e+06 5.623888e-04 5.199287e-05 5.199287e-05 1.000000 0 0 0
120.000000 135.000000 127.500000 169 4.686437e+06 8.602372e-04 6.617209e-05 6.617209e-05 1.000000 0 0 0
135.000000 150.000000 142.500000 164 4.168803e+06 1.010528e-03 7.890901e-05 7.890901e-05 1.000000 0 0 0
150.000000 165.000000 157.500000 142 3.609573e+06 1.123718e-03 9.430030e-05 9.430030e-05 1.000000 0 0 0
165.000000 180.000000 172.500000 133 3.380797e+06 1.321271e-03 1.145687e-04 1.145687e-04 1.000000 0 0 0
180.000000 195.000000 187.500000 110 2.796148e+06 1.346057e-03 1.283415e-04 1.283415e-04 1.000000 0 0 0
195.000000 210.000000 202.500000 112 2.846987e+06 1.661300e-03 1.569781e-04 1.569781e-04 1.000000 0 0 0
210.000000 225.000000 217.500000 108 2.745309e+06 1.915311e-03 1.843009e-04 1.843009e-04 1.000000 0 0 0
225.000000 240.000000 232.500000 77 1.806742e+06 1.489202e-03 1.697103e-04 1.697103e-04 1.000000 0 0 0
240.000000 260.000000 250.000000 100 2.033562e+06 2.009590e-03 2.009590e-04 2.009590e-04 1.000000 0 0 0
260.000000 280.000000 270.000000 83 1.582366e+06 1.895467e-03 2.080546e-04 2.080546e-04 1.000000 0 0 0
280.000000 300.000000 290.000000 64 1.084567e+06 1.553285e-03 1.941607e-04 1.941607e-04 1.000000 0 0 0
300.000000 330.000000 315.000000 87 1.206272e+06 2.124329e-03 2.277519e-04 2.277519e-04 1.000000 0 0 0
330.000000 360.000000 345.000000 58 6.804612e+05 1.504358e-03 1.975319e-04 1.975319e-04 1.000000 0 0 0
360.000000 400.000000 380.000000 49 4.670838e+05 1.314782e-03 1.878260e-04 1.878260e-04 1.000000 0 0 0
400.000000 450.000000 425.000000 34 2.729255e+05 1.016287e-03 1.742918e-04 1.742918e-04 1.000000 0 0 0
450.000000 500.000000 475.000000 22 1.342151e+05 6.599871e-04 1.407097e-04 1.407097e-04 1.000000 0 0 0
500.000000 600.000000 550.000000 24 1.220137e+05 8.655964e-04 1.766891e-04 1.766891e-04 1.000000 0 0 0
600.000000 650.000000 625.000000 8 4.880550e+04 4.766162e-04 1.685093e-04 1.685093e-04 1.000000 0 0 0
650.000000 700.000000 675.000000 9 6.863273e+04 8.124389e-04 2.708130e-04 2.708130e-04 1.000000 0 0 0
700.000000 750.000000 725.000000 5 3.812929e+04 5.396396e-04 2.413341e-04 2.413341e-04 1.000000 0 0 0
